Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,445096612,5710.363812358316,10342314,132.6866437744235,1200707,5998301,76.95515994184359,50301,0.6453363211073729,4400,
United States of America,Americas,78529635,23724.775,326898,98.76,0,950529,287.167,9605,2.902,0
India,South-East Asia,42967315,3113.564,43185,3.129,4362,515102,37.326,1259,0.091,66
Brazil,Americas,29033052,13658.794,289002,135.963,59253,651927,306.703,3014,1.418,672
France,Europe,22382148,34413.236,350447,538.823,45328,136166,209.359,1087,1.671,32
The United Kingdom,Europe,19119185,28163.662,186859,275.254,0,162008,238.647,329,0.485,0
Russian Federation,Europe,17014818,11659.219,616782,422.643,73162,356949,244.595,5289,3.624,668
Germany,Europe,15869417,19081.453,1124310,1351.875,78428,124126,149.25,1424,1.712,24
Turkey,Europe,14352997,17018.207,328707,389.745,27671,95549,113.292,1317,1.562,170
Italy,Europe,13026112,21840.689,261554,438.544,35889,155887,261.373,1327,2.225,105
Spain,Europe,11100428,23451.965,87217,184.264,0,100413,212.143,619,1.308,0
Argentina,Americas,8936602,19773.092,39424,87.229,2274,126768,280.486,648,1.434,60
Iran (Islamic Republic of),Eastern Mediterranean,7089892,8441.056,49425,58.844,5586,137948,164.238,1317,1.568,201
Netherlands,Europe,6707202,38530.342,374507,2151.401,66794,21612,124.153,64,0.368,4
Colombia,Americas,6070616,11930.564,9823,19.305,1191,139037,273.249,439,0.863,53
Indonesia,South-East Asia,5770105,2109.545,205657,75.188,21380,150430,54.997,2095,0.766,258
Poland,Europe,5747322,15141.212,80268,211.465,5585,112551,296.513,1234,3.251,6
Mexico,Americas,5563080,4314.714,54795,42.499,8688,319824,248.055,1693,1.313,220
Japan,Western Pacific,5393533,4264.456,438913,347.031,55417,24935,19.715,1665,1.316,146
Ukraine,Europe,4875007,11147.011,39531,90.39,2747,106679,243.928,731,1.671,40
Republic of Korea,Western Pacific,4666977,9102.889,1532521,2989.166,210716,9096,17.742,1038,2.025,139
Viet Nam,Western Pacific,4434700,4555.953,1113695,1144.146,202180,40813,41.929,669,0.687,87
