Name,WHO Region,Cases - cumulative total,Deaths - cumulative total,Transmission Classification
Global,,113820168,2527891,
United States of America,Americas,28244591,508584,Community transmission
India,South-East Asia,11112241,157157,Clusters of cases
Brazil,Americas,10517232,254221,Community transmission
Russian Federation,Europe,4257650,86455,Clusters of cases
The United Kingdom,Europe,4176558,122849,Community transmission
France,Europe,3690421,85986,Community transmission
Spain,Europe,3180212,68813,Community transmission
Italy,Europe,2925265,97699,Clusters of cases
Turkey,Europe,2701588,28569,Community transmission
Germany,Europe,2447068,70105,Community transmission
Colombia,Americas,2248135,59660,Community transmission
Argentina,Americas,2107365,51965,Community transmission
Mexico,Americas,2084128,185257,Community transmission
Poland,Europe,1711772,43793,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1631169,60073,Community transmission
South Africa,Africa,1513393,49993,Community transmission
Ukraine,Europe,1352134,26050,Community transmission
Indonesia,South-East Asia,1334634,36166,Community transmission
Peru,Americas,1323863,46299,Community transmission
Czechia,Europe,1240051,20469,Community transmission
Netherlands,Europe,1088690,15563,Community transmission
Canada,Americas,864196,21960,Community transmission
Chile,Americas,825625,20572,Community transmission
Portugal,Europe,804562,16317,Clusters of cases
Romania,Europe,801994,20350,Community transmission
Belgium,Europe,771511,22077,Community transmission
Israel,Europe,764791,5669,Community transmission
Iraq,Eastern Mediterranean,695489,13406,Community transmission
Sweden,Europe,657309,12826,Community transmission
Pakistan,Eastern Mediterranean,579973,12860,Community transmission
Philippines,Western Pacific,576352,12318,Community transmission
Switzerland,Europe,552290,9219,Community transmission
Bangladesh,South-East Asia,546216,8408,Community transmission
Morocco,Eastern Mediterranean,483654,8623,Clusters of cases
Serbia,Europe,459259,4443,Community transmission
Austria,Europe,456112,8414,Community transmission
Hungary,Europe,432925,15058,Community transmission
Japan,Western Pacific,432773,7887,Clusters of cases
United Arab Emirates,Eastern Mediterranean,391524,1221,Community transmission
Jordan,Eastern Mediterranean,391090,4701,Community transmission
Saudi Arabia,Eastern Mediterranean,377383,6494,Sporadic cases
Lebanon,Eastern Mediterranean,375033,4692,Community transmission
Panama,Americas,340445,5831,Community transmission
Slovakia,Europe,308083,7189,Clusters of cases
Malaysia,Western Pacific,300752,1130,Clusters of cases
Belarus,Europe,287306,1976,Community transmission
Ecuador,Americas,286155,15811,Community transmission
Nepal,South-East Asia,274143,2774,Clusters of cases
Georgia,Europe,270918,3520,Community transmission
Kazakhstan,Europe,262725,3389,Clusters of cases
Bolivia (Plurinational State of),Americas,248547,11628,Community transmission
Bulgaria,Europe,247038,10191,Clusters of cases
Croatia,Europe,243064,5537,Community transmission
Dominican Republic,Americas,239617,3100,Community transmission
Azerbaijan,Europe,234537,3220,Clusters of cases
Tunisia,Eastern Mediterranean,233277,8001,Community transmission
Ireland,Europe,219592,4319,Community transmission
Denmark,Europe,211195,2361,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,208349,2259,Community transmission
Costa Rica,Americas,204341,2800,Community transmission
Lithuania,Europe,199398,3253,Community transmission
Greece,Europe,191100,6504,Community transmission
Kuwait,Eastern Mediterranean,190852,1083,Community transmission
Slovenia,Europe,190081,4111,Clusters of cases
Republic of Moldova,Europe,185453,3949,Community transmission
Egypt,Eastern Mediterranean,182424,10688,Clusters of cases
Guatemala,Americas,174542,6393,Community transmission
Armenia,Europe,172216,3195,Community transmission
Honduras,Americas,169754,4141,Community transmission
Qatar,Eastern Mediterranean,163664,258,Community transmission
Ethiopia,Africa,159072,2365,Community transmission
Paraguay,Americas,158537,3167,Community transmission
Nigeria,Africa,155657,1907,Community transmission
Myanmar,South-East Asia,141896,3199,Clusters of cases
Oman,Eastern Mediterranean,141496,1570,Community transmission
Venezuela (Bolivarian Republic of),Americas,138739,1338,Community transmission
Libya,Eastern Mediterranean,133338,2179,Community transmission
Bosnia and Herzegovina,Europe,132138,5096,Community transmission
Bahrain,Eastern Mediterranean,122395,449,Clusters of cases
Algeria,Africa,113092,2983,Community transmission
Albania,Europe,107167,1796,Clusters of cases
Kenya,Africa,105973,1856,Community transmission
North Macedonia,Europe,102787,3137,Community transmission
China,Western Pacific,101920,4844,Clusters of cases
Puerto Rico,Americas,100297,2036,Community transmission
Republic of Korea,Western Pacific,90029,1605,Clusters of cases
Kyrgyzstan,Europe,86251,1466,Clusters of cases
Latvia,Europe,86186,1618,Community transmission
Ghana,Africa,84023,607,Community transmission
Sri Lanka,South-East Asia,83242,471,Clusters of cases
Uzbekistan,Europe,79926,622,Clusters of cases
