Hospital_Names,Addresses,Category,Contact_Info
Bulalacao Community Hospital,"Campaasan, Oriental Mindoro",Level 2/Secondary,0927-7727538
Lyceum of Aparri Hospital,"Macanaya District, Aparri, Cagayan",Level 2/Secondary,(6378) 888-2736/8228843
Eastern Samar Provincial Hospital,"Borongan, Eastern Samar",Level 3/Tertiary,(055) 560-9869
Albino M. Duran Memorial Hospital,"Balangiga, Eastern Samar",Level 1/Primary,(055) 560-1497
Gloria Medicare Hospital,"Gloria, Oriental Mindoro",Level 1/Primary,284-3903
Aurora Memorial Hospital,"San Luis St. Poblacion, Baler, Aurora, Philippines",Level 1/Primary,042-2094256
Mansalay Medicare Hospital,"Mansalay, Oriental Mindoro",Level 1/Primary,0929-5271471
Felipe Abrigo Memorial Hospital (formerly South Samar General Hospital),"Guiuan, Eastern Samar",Level 2/Secondary,(055) 271-2180
Taft District Hospital,"Taft, Eastern Samar",Level 1/Primary,
Naujan Municipal Hospital,"Santiago, Naujan, Oriental Mindoro",Level 1/Primary,043-2083457
Oras District Hospital,"Oras, Eastern Samar",Level 1/Primary,
Bolinao Medicare Community Hospital,Bolinao Pangasinan,Level 1/Primary,0917-3621037
Arteche District Hospital,"Arteche, Eastern Samar",Level 1/Primary,(055) 261-2206
Oriental Mindoro Provincial Hospital,"Ilaya, Calapan City, Oriental Mindoro",Level 2/Secondary,288-5152
Dolores Municipal Hospital,"Dolores, Eastern Samar",Level 1/Primary,
Can-Avid Municipal Hospital,"Can-Avid, Eastern Samar",Level 1/Primary,(055) 564-6521
Roxas District Hospital,"Odiong, Roxas, Oriental Mindoro",Level 1/Primary,289-2280
Batanes General Hospital,"National Road,Kayhuvokan, Basco, Batanes, Philippines 3900",Level 2/Secondary,0917-8824023
Llorente Municipal Hospital,"Llorente, Eastern Samar",Level 1/Primary,(055) 573-1163
Itbayat District Hospital,"San Rafael,Itbayat, Batanes, Philippines 3905",Level 1/Primary,
Gen. Mac Arthur Municipal Hospital,"Gen. MacArthur, Eastern Samar",Level 1/Primary,(055) 575-2007
Homonhon Island Community Hospital,"Homonhon, Eastern Samar",Level 1/Primary,0927-54896
Col. Domingo A. Valdez Memorial Hospital,Bobonot Dasol Pangasinan,Level 1/Primary,
Quinapondan Community Hospital,"Quinapondan, Eastern Samar",Level 1/Primary,(055) 576-1007
Abulug Emergency Hospital,"Centro, Abulog, Cagayan, Philippines 3517",Level 1/Primary,
Don Mariano C. Verzosa Memorial Hospital,Solis St.Poblacion Lingayen,Level 1/Primary,75-5422292/6620235
Pinamalayan Community Hospital,"Strong Republic Highway, Pinamalayan, Oriental Mindoro",Level 1/Primary,(043) 284-3562
Abra de Ilog Municipal Hospital,"Venturanza St., Poblacion, Abra de Ilog, Occidental Mindoro",Level 1/Primary,711-1157 / 0919-8463784
Borongan Doctors Hospital,"Borongan, Eastern Samar",Level 2/Secondary,(055) 560-9132
Immaculate Concepcion Clinic & Hospital,"Guiuan, Eastern Samar",Level 2/Secondary,0917-857880
Baconawa Hospital,"Rizal St. Llorente, Eastern Samar",Level 1/Primary,(055) 573-1223
Domingo Casano Hospital,"Dolores, Eastern Samar",Level 1/Primary,
Lubang District Hospital,"Brgy. Tangal, Lubang, Occidental Mindoro",Level 1/Primary,043-6645017
Paluan Medicare Community Hospital,"Paluan, Occidental Mindoro",Level 1/Primary,0927-3596580
Rizal Community Hospital,"Sto. Niño, Rizal, Occidental Mindoro",Level 1/Primary,
Casiguran District Hospital,"Brgy. Marikit, Casiguran, Aurora, Philippines",Level 1/Primary,09192273651
Ma. Aurora Community Hospital,"Maria Aurora, Aurora",,042-2094256
San Sebastian District Hospital,,Level 2/Secondary,0918-9068216
Labrador Municipal Hospital,Poblacion Labrador Pangasinan,Level 1/Primary,(075) 515 8852
Agpalo Hospital Guiuan Polymedic,"Guiuan, Eastern Samar",Level 1/Primary,(055) 271-2471
Our Lady Of Guadalupe Hospital,"Gen. MacArthur, Eastern Samar",Level 1/Primary,(055) 570-2016
Alcala Municipal Hospital,"Centro, Alcala, Cagayan, Philippines 3507",Level 1/Primary,
Eastern Visayas Regional Medical Center,"R. Magsaysay Blvd., Tacloban City",Level 4/DOH Hospital,(053) 321-3129
Alfonso Ponce Enrile Memorial Dist. Hospital,"Smart, Gonzaga, Cagayan, Philippines 3513",Level 2/Secondary,
Leyte Provincial Hospital,"Candahug Palo, Leyte",Level 2/Secondary,(053) 323-3054
Malasiqui Municipal Hospital,Cabatling Municipal Hospital,Level 1/Primary,75-3635682/ 5365702 fax
"Arsenal ""Kalusugan"" Hospital","Camp Gen. A. Luna, Lanao, Limay",Level 2/Secondary,047-2444615; 244
Abuyog District Hospital,,Level 2/Secondary,(053) 334-2217
Manaoag Community Hospital,Baritao Manaoag Pangasinan,Level 1/Primary,75-5194833 telefax
Western Leyte Provincial Hospital,"Baybay, Leyte",Level 2/Secondary,(053) 335-2250
Mapandan Municipal Hospital,Poblacion Mapandan Pangasinan,Level 1/Primary,75-5055061
Aparri District Hospital,"Maharlika Hiway, Toran, Aparri, Cagayan, Philippines 3515",Level 2/Secondary,8229952
Hilongos District Hospital,"Hilongos, Leyte",Level 2/Secondary,(053) 567-9452
Pozorrubio Community Hospital,Talogtog Pozorrubio Pangasinan,Level 1/Primary,75-5667370
Clinica Gatchalian & Hospital,Ormoc City,Level 2/Secondary,(053) 255-2203
Ospa Farmer’s Medical Center,Ormoc City,Level 2/Secondary,(053) 255-3194
Umingan Medicare and Community Hospital,Umingan Pangasinan,Level 1/Primary,75-5765033
Bayambang District Hospital,Bayambang Pangasinan,Level 2/Secondary,75-5922958
Don Amadeo J. Perez Sr. Memorial General Hospital,Dilan Paurido Urdaneta City Pangasinan,Level 1/Primary,75-5685114
Ormoc District Hospital,Ormoc City,Level 2/Secondary,(053) 255-2475
Dr. Manuel B. Veloso Memorial Hospital,,Level 2/Secondary,(053) 338-3380
Eastern Pangasinan District Hospital,Magallanes Tayug Pangasinan,Level 2/Secondary,75-5724339
Mangatarem District Hospital,Casilagan Mangatarem Pangasinan,Level 2/ Secondary,9023720
Baggao Medicare Community Hospital,"Balite St. Zone 4 Centro, Baggao, Cagayan, Philippines 3506",Level 1/Primary,
Aparri Medicare Community Hospital,"136 Bangag, Aparri, Cagayan",Level 1/Primary,
Northwestern Leyte District Hospital,,Level 1/Primary,(053) 549-2280
Carigara District Hospital,,Level 1/Primary,(053) 331-2431
Burauen District Hospital,,Level 2/Secondary,(053) 332-2705
Sta. Cruz Community Hospital,"Poblacion II, Sta. Cruz, Occidental Mindoro",Level 1/Primary,711-1168
Tabango Community Hospital,"Tabango, Leyte",Level 1/Primary,(053) 551-9458
Sta. Cruz District Hospital,"Brgy. Lapu-Lapu, Sta. Cruz, Marinduque",Level 2/Secondary,321-1768
Torrijos Municipal Hospital,"Rizal St., Poblacion, Marinduque",Level 1/Primary,311-1165
Dr. Damian Reyes Sr. Memorial Hospital,"Brgy. Santol, Boac, Marinduque",Level 2/Secondary,042-3322490
Baggao Municipal Hospital,"Barangay Road, Zone 3, Tallang, Baggao, Cagayan, Philippines 3506",Level 1/Primary,
Vsu Hospital,"VISCA, Baybay, Leyte",Level 1/Primary,(053) 335-2607
Ballesteros District Hospital,"Cabatuan West, Ballesteros, Cagayan, Philippines 3516",Level 2/Secondary,
Villaba Community Hospital,"Suba, Villaba, Leyte",Level 1/Primary,(053) 552-9063
Remedios Trinidad Romualdez Hospital,Tacloban City,,(053) 327-5004
Cagayan Valley Medical Center,"Maharlika Hiway Carig Sur, Tuguegarao, City,Cagayan, Philippines 3500",Level 4/Specialty - DOH Hospital,(6344) 463-1609 • 463-4615 • 463-1607 • 463-2199 • 463-8986
Western Pangasinan District Hospital,Poblacion Alaminos Pangasinan,Level 2/Secondary,75-5527129/5516408
Tacloban City Hospital,,Level 1/Primary,(053) 323-8254
Divine Word Hospital,"Tacloban City, Leyte",Level 4/Specialty,(053) 321-2308
Pangasinan Provincial Hospital,Bolinggit San Carlos City Pangasinan,Level 3/Tertiary,75-5322603
Bethany Hospital,Tacloban City,Level 4/Specialty,(053) 321-2427/325-6192
Dr. Tomas Nolasco Sr. Memorial Hospital,"Centro Sur, Gattaran, Cagayan, Philippines 3508",Level 1/Primary,8524041
Region 1 Medical Center,Arellano Bani Dagupan City Pangasinan,Level 3/Tertiary,75-5158916/5153815/5158910
Schistosomiasis Hospital,"Palo, Leyte",Level 1-Special / DOH Hospital,(053) 524-9247
Kananga Municipal Hospital,"Kananga, Leyte",Level 1/Primary,(053) 553-9125
Espinoza-Rosario Hospital,,Level 1/Primary,Contact No. 5363108
Ormoc Maternity & Children’s Hospital,,Level 1/Primary,(053) 255-8714
Gattaran Emergency Hospital,"Calaoagan Dackel, Gattaran, Cagayan, Philippines",Level 1/Primary,
"Leyte Baptist Hospital, Inc.","Hilongos, Leyte",Level 2/Secondary,(053) 567-9457
Villaflor’s Clinic,"Hilongos, Leyte",Level 1/Primary,(053) 336-2089
Mother Of Mercy Hospital,"Tacloban City, Leyte",Level 3/Tertiary,
Center For Psychosocial Health Care,"Tacloban City, Leyte",,
Don Modesto Formilleza Sr. Memorial Hospital,"Punta, Looc, Romblon",,
Northern Samar Provincial Hosp.,"Catarman, Northern Samar",Level 2/Secondary,(055) 300-2057
Lasam District Hospital,"Ignacio Jurado St., Centro, Lasam, Cagayan, Philippines 3524",Level 1/Primary,
Bañez Hospital,,Level 1/Primary,Contact No. 75-582-7314
Matilde A. Olivas District Hospital,"Maharlika Hiway, Gen. Batalla, Camalaniugan, Cagayan, Philippines",Level 2/Secondary,
Allen District Hospital,"Allen, Northern Samar",Level 2/Secondary,
Gamay District Hospital,"Gamay, Northern Samar",Level 1/Primary,
Nuestra Sra. De Piat District Hospital,"Provincial Road, Maguilling, Piat, Cagayan Philippines 3527",,8444563
Dr. Gregorio B. Tan Memorial Hospital,"Laoang, Northern Samar",Level 1/Primary,
Catubig District Hospital,,Level 1/Primary,
San Antonio District Hospital,,Level 1/Primary,
Capul District Hospital,"Capul, Northern Samar",Level 1/Primary,
Mariveles Mental Hospital,"P. Monroe St. Pob., Mariveles",CPsych,"9354612/4138, 9354617"
C and H Medical and Surgical Clinic,Poblacion Alaminos Pangasinan,Level 1/Primary,75-551-5409
Biri District Hospital,"Biri, Northern Samar",Level 1/Primary,
People's Emergency Hospital,"Luna St. Tuguegarao City, Cagayan, Philippines 3500",Level 2/Secondary,8464226/8441337
Samar Provincial Hospital,"Catbalogan, Samar",Level 2/Secondary,(055) 251-6175
Del Carmen Medical Clinic and Hospital,Carmen Rosales Pangasinan,Level 1/Primary,75-582-2416
Romblon District Hospital,"Capaclan, Romblon, Romblon",Level 2/Secondary,
Romblon Provincial Hospital,"M.L. Quezon St., Brgy. Liwanag, Odiongan",Level 2/Secondary,contact n
San Vicente District Hospital,"San Vicente, Northern Samar",Level 1/Primary,
MAHESECO Multipurpose cooperative,"Lakandula St., Poblacion, Mariveles",Level 2/Secondary,047-9354192/4003/6743
Isaac & Catalina Medical Center,"Calero St., Ibayo, Balanga City",Level 2/Secondary,047-2371435; 2374003
Leoncio Uy Memorial Hospital,"Catarman, Northern Samar",Level 1/Primary,
Sta. Ana Community Hospital,"Centro, Sta. Ana. Cagayan, Philippines 3514",Level 1/Primary,
San Jose District Hospital,"Sitio Inobahan, San Jose, Romblon",Level 1/Primary,
