Hospital Names,Addresses,Category,Contact Info
Bulalacao Community Hospital,"Address: Campaasan, Oriental Mindoro",Category: Level 2/Secondary,Contact No.: 0927-7727538
Lyceum of Aparri Hospital,"Address: Macanaya District, Aparri, Cagayan",Category: Level 2/Secondary,contact No.: (6378) 888-2736/8228843
Eastern Samar Provincial Hospital,"Address: Borongan, Eastern Samar",Category: Level 3/Tertiary,Contact Number: (055) 560-9869
Albino M. Duran Memorial Hospital,"Address: Balangiga, Eastern Samar",Category: Level 1/Primary,Contact Number: (055) 560-1497
Gloria Medicare Hospital,"Address: Gloria, Oriental Mindoro",Category: Level 1/Primary,Contact No.: 284-3903
Aurora Memorial Hospital,"Address: San Luis St. Poblacion, Baler, Aurora, Philippines",Category: Level 1/Primary,Contact No.: 042-2094256
Mansalay Medicare Hospital,"Address: Mansalay, Oriental Mindoro",Category: Level 1/Primary,Contact No.: 0929-5271471
Felipe Abrigo Memorial Hospital (formerly South Samar General Hospital),"Address: Guiuan, Eastern Samar",Category: Level 2/Secondary,Contact Number: (055) 271-2180
Taft District Hospital,"Address: Taft, Eastern Samar",Category: Level 1/Primary,Contact Number: none
Naujan Municipal Hospital,"Address: Santiago, Naujan, Oriental Mindoro",Category: Level 1/Primary,Contact No.: 043-2083457
Oras District Hospital,"Address: Oras, Eastern Samar",Category: Level 1/Primary,Contact Number: none
Bolinao Medicare Community Hospital,Address :Bolinao Pangasinan,Category:Level 1/Primary,Contact No:0917-3621037
Arteche District Hospital,"Address: Arteche, Eastern Samar",Category: Level 1/Primary,Contact Number: (055) 261-2206
Oriental Mindoro Provincial Hospital,"Address: Ilaya, Calapan City, Oriental Mindoro",Category: Level 2/Secondary,Contact No.: 288-5152
Dolores Municipal Hospital,"Address: Dolores, Eastern Samar",Category: Level 1/Primary,Contact Number: none
Can-Avid Municipal Hospital,"Address: Can-Avid, Eastern Samar",Category: Level 1/Primary,Contact Number: (055) 564-6521
Roxas District Hospital,"Address: Odiong, Roxas, Oriental Mindoro",Category: Level 1/Primary,Contact No.: 289-2280
Batanes General Hospital,"Address: National Road,Kayhuvokan, Basco, Batanes, Philippines 3900",Category: Level 2/Secondary,Contact No.: 0917-8824023
Llorente Municipal Hospital,"Address: Llorente, Eastern Samar",Category: Level 1/Primary,Contact Number: (055) 573-1163
Itbayat District Hospital,"Address: San Rafael,Itbayat, Batanes, Philippines 3905",Category: Level 1/Primary,Contact No.: none
Gen. Mac Arthur Municipal Hospital,"Address: Gen. MacArthur, Eastern Samar",Category: Level 1/Primary,Contact Number: (055) 575-2007
Homonhon Island Community Hospital,"Address: Homonhon, Eastern Samar",Category: Level 1/Primary,Contact Number: 0927-54896
Col. Domingo A. Valdez Memorial Hospital,Address: Bobonot Dasol Pangasinan,Category:Level 1/Primary,Contact No. none
Quinapondan Community Hospital,"Address: Quinapondan, Eastern Samar",Category: Level 1/Primary,Contact Number: (055) 576-1007
Abulug Emergency Hospital,"Address: Centro, Abulog, Cagayan, Philippines 3517",Category: Level 1/Primary,Contact No.: none
Don Mariano C. Verzosa Memorial Hospital,Address:Solis St.Poblacion Lingayen,Category:Level 1/Primary,Contact No.75-5422292/6620235
